Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,At-bats,At-bats_2,Bateos,Bateos_2,Bateos_promedio,Bateos_promedio_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Dobles,Dobles_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_iniciados,Juegos_iniciados_2,Jugador,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_On-base-plus-slugging,Porcentaje_On-base-plus-slugging_2,Porcentaje_juegos,Porcentaje_juegos_iniciados,Porcentaje_juegos_iniciados_2,Porcentaje_on-base,Porcentaje_on-base_2,Porcentaje_slugging,Porcentaje_slugging_2,Posicion,Promedio_victorias,Runs-batted-in,Runs-batted-in_2,Status_agente_libre,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Triples,Triples_2,Valor_contrato,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
MIN,6.1,2020,2025,4,0,81,6561,18,324,0.222,0.049284,0,1,7,2,4,34,34,Minnesota Twins,ATL,Minnesota,87667798,6,36,28,60,25,625,Josh Donaldson,6666667,6,210,17,0.842,0.7089639999999999,0.467,0.417,0.173889,0.373,0.139129,0.469,0.21996099999999996,3B,0.6,11,121,UFA,6666667,21000000,0.12,21000000,0.0,0.0,0,0,92000000,23000000,134000000,92000000,23000000,36,0.54,0.2916,3,15.712630592850154,16.860032995687696,16.860032995687696
CHW,6.2,2020,2024,4,0,161,25921,37,1369,0.23,0.0529,0,2,5,7,49,31,31,Chicago White Sox,MIL,Illinois,47468259,8,64,46,60,45,2025,Yasmani Grandal,6759259,6,225,10,0.773,0.597529,0.767,0.75,0.5625,0.351,0.12320099999999999,0.422,0.178084,C,0.5833333333333334,27,729,UFA,6759259,18250000,0.126,18250000,38.57,1487.6449,0,0,73000000,18250000,151500000,73000000,18250000,35,0.88,0.7744,3,15.726423826626327,16.719675637992776,16.719675637992776
CIN,6.4,2020,2025,4,1,218,47524,49,2401,0.225,0.050625,0,2,4,11,121,28,27,Cincinnati Reds,CHC,Ohio,30017753,14,196,60,59,59,3481,Nick Castellanos,5925926,10,203,16,0.784,0.6146560000000001,1.0,0.983,0.966289,0.298,0.088804,0.486,0.236196,RF,0.5254237288135594,34,1156,UFA,5925926,16000000,0.107,16000000,28.06,787.3635999999999,2,4,64000000,16000000,144825000,64000000,16000000,31,0.02,0.0004,5,15.594847519693772,16.588099280204055,16.588099280204055
CIN,6.0,2020,2025,4,0,139,19321,32,1024,0.23,0.0529,0,2,4,9,81,31,31,Cincinnati Reds,MIL,Ohio,46006308,8,64,44,59,43,1849,Mike Moustakas,4444444,10,225,16,0.799,0.6384010000000001,0.733,0.717,0.5140889999999999,0.331,0.109561,0.468,0.21902400000000002,2B,0.5254237288135594,27,729,UFA,4444444,12000000,0.08,12000000,30.46,927.8116,0,0,64000000,16000000,144825000,64000000,16000000,31,0.24,0.0576,5,15.307165334741986,16.300417207752275,16.300417207752275
ATL,6.5,2020,2024,3,0,114,12996,33,1089,0.29,0.0841,0,1,7,9,81,30,30,Atlanta Braves,SF,Georgia,17322101,8,64,37,60,34,1156,Will Smith,4814815,18,255,26,0.98,0.9603999999999999,0.617,0.567,0.32148899999999997,0.402,0.16160400000000003,0.579,0.33524099999999996,RP,0.5833333333333334,25,625,UFA,4814815,13000000,0.076,13000000,95.34,9089.715600000001,0,0,40000000,13333333,95750000,40000000,13333333,35,1.42,2.0164,3,15.387208180877066,16.38045991542581,16.38045991542581
MIL,6.4,2020,2023,2,1,181,32761,43,1849,0.238,0.05664399999999999,250000,1,9,10,100,29,28,Milwaukee Brewers,TB,Wisconsin,21065538,2,4,53,60,50,2500,Avisail Garcia,3092592,1,250,7,0.659,0.43428100000000003,0.883,0.833,0.693889,0.333,0.11088900000000002,0.326,0.10627600000000001,LF,0.4833333333333333,15,225,UFA,2842593,7000000,0.069,7250000,11.22,125.88840000000002,0,0,20000000,10000000,49875000,20000000,10000000,29,-0.27,0.0729,0,14.860227221749717,15.761420707019587,15.796512026830857
ATL,6.1,2020,2021,1,0,228,51984,77,5929,0.338,0.11424400000000001,0,1,7,14,196,29,29,Atlanta Braves,STL,Georgia,33191158,18,324,60,60,60,3600,Marcell Ozuna,6666667,18,225,26,1.067,1.1384889999999999,1.0,1.0,1.0,0.431,0.18576099999999998,0.636,0.404496,LF,0.5833333333333334,56,3136,UFA,6666667,18000000,0.105,18000000,97.45,9496.5025,0,0,18000000,18000000,95750000,18000000,18000000,35,2.64,6.969600000000001,3,15.712630592850154,16.70588231586044,16.70588231586044
MIA,6.1,2020,2022,2,1,194,37636,50,2500,0.258,0.066564,0,2,6,5,25,31,30,Miami Marlins,PHI,Florida,22198867,7,49,52,60,51,2601,Corey Dickerson,2592593,2,200,3,0.713,0.508369,0.867,0.85,0.7224999999999999,0.311,0.096721,0.402,0.16160400000000003,LF,0.5166666666666667,17,289,UFA,2592593,8000000,0.075,8000000,23.2,538.24,1,1,17500000,8750000,25350000,17500000,8750000,31,0.22,0.0484,2,14.76816909115215,15.89495209964411,15.89495209964411
ATL,6.2,2020,0,2,1,165,27225,53,2809,0.321,0.10304100000000001,0,1,7,8,64,31,30,Atlanta Braves,TB,Georgia,12078070,9,81,44,60,39,1521,Travis d'Arnaud,2962963,18,210,26,0.919,0.8445610000000001,0.733,0.65,0.42250000000000004,0.386,0.14899600000000002,0.533,0.28408900000000004,C,0.5833333333333334,34,1156,UFA,2962963,8000000,0.047,8000000,76.77,5893.6329,0,0,16000000,8000000,95750000,16000000,8000000,35,0.84,0.7055999999999999,3,14.901700339133827,15.89495209964411,15.89495209964411
PHI,6.3,2020,2021,1,1,215,46225,61,3721,0.284,0.08065599999999999,0,2,4,10,100,30,29,Philadelphia Phillies,NYY,Pennsylvania,35041585,10,100,60,60,56,3136,Didi Gregorius,5185185,7,205,14,0.827,0.6839289999999999,1.0,0.933,0.8704890000000001,0.339,0.11492100000000001,0.488,0.238144,SS,0.4666666666666667,40,1600,UFA,5185185,14000000,0.071,14000000,55.18,3044.8324,2,4,14000000,14000000,134350000,14000000,14000000,28,1.2,1.44,2,15.461316078854964,16.454567887579532,16.454567887579532
WSH,6.2,2020,2022,2,1,60,3600,16,256,0.267,0.071289,0,1,10,3,9,30,29,Washington Nationals,MIA,Washington DC,63601694,2,4,16,62,16,256,Starlin Castro,2222222,1,230,6,0.752,0.565504,0.267,0.267,0.071289,0.302,0.091204,0.45,0.2025,2B,0.4193548387096774,4,16,UFA,2222222,6000000,0.03,6000000,0.0,0.0,1,1,12000000,6000000,316750000,12000000,6000000,26,0.47,0.22089999999999999,1,14.614018154182041,15.60727002719233,15.60727002719233
CHW,6.066556291390728,2020,2022,1,1,159,25281,25,625,0.157,0.024649,1000000,2,5,5,25,37,36,Chicago White Sox,NYY,Illinois,125235742,10,100,44,60,43,1849,Edwin Encarnacion,5074074,6,230,10,0.627,0.393129,0.733,0.717,0.5140889999999999,0.25,0.0625,0.377,0.142129,DH,0.5833333333333334,19,361,UFA,5074074,11000000,0.095,12000000,11.7,136.89,0,0,12000000,12000000,151500000,12000000,12000000,35,-0.35,0.12249999999999998,3,15.43965460318953,16.213405830762646,16.300417207752275
WSH,6.2,2020,2022,2,0,109,11881,31,961,0.284,0.08065599999999999,0,1,10,6,36,32,32,Washington Nationals,WSH,Washington DC,25242053,4,16,30,62,30,900,Yan Gomes,1481481,1,215,6,0.787,0.6193690000000001,0.5,0.5,0.25,0.319,0.101761,0.468,0.21902400000000002,C,0.4193548387096774,13,169,UFA,1481481,4000000,0.02,4000000,0.0,0.0,1,1,10000000,5000000,316750000,10000000,5000000,26,0.82,0.6723999999999999,1,14.208552821073829,15.201804919084164,15.201804919084164
HOU,6.0,2020,2022,2,0,135,18225,29,841,0.215,0.046224999999999995,0,2,3,4,16,33,33,Houston Astros,HOU,Texas,12960356,6,36,47,60,46,2116,Martin Maldonado,1296296,3,230,14,0.727,0.5285289999999999,0.783,0.767,0.5882890000000001,0.35,0.12249999999999998,0.378,0.142884,C,0.4833333333333333,24,576,UFA,1296296,3500000,0.016,3500000,52.98,2806.8803999999996,0,0,7000000,3500000,15650000,7000000,3500000,29,0.83,0.6889,1,14.075021524877904,15.068273526459642,15.068273526459642
SD,6.3,2020,2021,1,1,80,6400,15,225,0.188,0.035344,0,5,2,9,81,33,32,San Diego Padres,MIN,California,42984755,2,4,27,61,25,625,Jason Castro,1098114,2,215,6,0.668,0.44622400000000007,0.45,0.417,0.173889,0.294,0.08643599999999999,0.375,0.140625,C,0.6229508196721312,9,81,UFA,1098114,6850000,0.015,6850000,0.0,0.0,0,0,6850000,6850000,43000000,6850000,6850000,38,-0.02,0.0004,0,13.90910472079877,15.739759210238407,15.739759210238407
NYM,6.1,2020,2022,1,1,74,5476,12,144,0.162,0.026244,0,2,5,3,9,36,35,New York Mets,HOU,New York,16443353,1,1,26,60,23,529,Robinson Chirinos,889994,5,220,9,0.475,0.225625,0.433,0.383,0.146689,0.232,0.053824000000000004,0.243,0.059049,C,0.4333333333333333,7,49,UFA,889994,5750000,0.011,5750000,0.0,0.0,0,0,6750000,6750000,26300000,6750000,6750000,26,-0.64,0.4096,2,13.698970000112565,15.564710412773533,15.564710412773533
WSH,6.066556291390728,2020,2022,1,0,91,8281,25,625,0.275,0.07562500000000001,0,1,10,4,16,36,36,Washington Nationals,WSH,Washington DC,76051481,2,4,25,62,25,625,Howie Kendrick,1481481,1,220,6,0.705,0.49702499999999994,0.417,0.417,0.173889,0.32,0.1024,0.385,0.148225,2B,0.4193548387096774,14,196,UFA,1481481,4000000,0.02,4000000,0.0,0.0,0,0,6250000,6250000,316750000,6250000,6250000,26,-0.14,0.019600000000000003,1,14.208552821073829,15.201804919084164,15.201804919084164
SF,6.3,2020,0,2,0,198,39204,53,2809,0.268,0.07182400000000001,0,5,3,11,121,28,28,San Francisco Giants,ARI,California,13225803,12,144,55,60,50,2500,Wilmer Flores,1111111,23,205,26,0.83,0.6889,0.917,0.833,0.693889,0.315,0.09922500000000001,0.515,0.265225,2B,0.4833333333333333,32,1024,UFA,1111111,3000000,0.015,3000000,74.14,5496.7396,1,1,6250000,3125000,18250000,6250000,3125000,29,1.26,1.5876000000000001,8,13.920870973622096,14.914122846632385,14.914122846632385
