Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,At-bats,At-bats_2,Bateos,Bateos_2,Bateos_promedio,Bateos_promedio_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Dobles,Dobles_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_iniciados,Juegos_iniciados_2,Jugador,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_On-base-plus-slugging,Porcentaje_On-base-plus-slugging_2,Porcentaje_juegos,Porcentaje_juegos_iniciados,Porcentaje_juegos_iniciados_2,Porcentaje_on-base,Porcentaje_on-base_2,Porcentaje_slugging,Porcentaje_slugging_2,Posicion,Promedio_victorias,Runs-batted-in,Runs-batted-in_2,Status_agente_libre,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Triples,Triples_2,Valor_contrato,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
SD,6.4,2018,2026,8,0,613,375769,155,24025,0.253,0.064009,1000000,5,3,31,961,28,28,San Diego Padres,KC,California,62344750,18,324,157,162,155,24025,Eric Hosmer,25000000,2,226.0,5,0.72,0.5184,0.969,0.957,0.9158489999999999,0.322,0.10368400000000001,0.398,0.15840400000000002,1B,0.4074074074074074,69,4761,UFA,21000000,20000000,0.202,21000000,17.01,289.34010000000006,2,4,144000000,18000000,149500000,144000000,18000000,66,0.9,0.81,0,16.860032995687696,16.811242831518264,16.860032995687696
CHC,6.5,2018,2024,6,0,12,144,1,1,0.083,0.006889000000000001,0,2,7,1,1,31,31,Chicago Cubs,LAD,Illinois,84207843,0,0,8,163,8,64,Yu Darvish,25000000,17,220.0,20,0.25,0.0625,0.049,0.049,0.0024010000000000004,0.083,0.006889000000000001,0.167,0.027889000000000004,SP,0.5828220858895705,0,0,UFA,25000000,25000000,0.129,25000000,0.0,0.0,0,0,126000000,21000000,215545000,126000000,21000000,95,1.6643327556325829,2.770003521471547,3,17.034386382832476,17.034386382832476,17.034386382832476
BOS,6.3,2018,2023,5,0,569,323761,188,35344,0.33,0.10890000000000001,0,1,3,37,1369,30,30,Boston Red Sox,ARI,Massachusetts,47174800,43,1849,150,162,150,22500,J.D. Martinez,23750000,14,230.0,24,1.031,1.0629609999999998,0.926,0.926,0.8574760000000001,0.402,0.16160400000000003,0.629,0.395641,DH,0.6666666666666666,130,16900,UFA,23750000,23750000,0.104,23750000,96.69,9348.9561,2,4,110000000,22000000,131000000,110000000,22000000,108,6.71,45.0241,9,16.983093088444924,16.983093088444924,16.983093088444924
MIL,6.2,2018,2023,5,1,539,290521,166,27556,0.308,0.094864,0,1,5,25,625,32,31,Milwaukee Brewers,KC,Wisconsin,35250025,10,100,142,163,137,18769,Lorenzo Cain,13300000,1,214.0,5,0.813,0.6609689999999999,0.871,0.841,0.7072809999999999,0.395,0.15602500000000002,0.417,0.173889,CF,0.588957055214724,38,1444,UFA,14300000,14000000,0.131,14300000,84.09,7071.128100000001,2,4,80000000,16000000,103750000,80000000,16000000,96,6.86,47.0596,0,16.475770095230136,16.454567887579532,16.475770095230136
PHI,6.4,2018,2021,3,1,45,2025,6,36,0.133,0.017689000000000003,0,2,4,0,0,32,31,Philadelphia Phillies,CHC,Pennsylvania,63290945,1,1,31,162,31,961,Jake Arrieta,30000000,7,230.0,14,0.388,0.150544,0.191,0.191,0.036481,0.188,0.035344,0.2,0.04000000000000001,SP,0.4938271604938271,3,9,UFA,30000000,30000000,0.288,30000000,32.43,1051.7049,0,0,75000000,25000000,169200000,75000000,25000000,80,2.36,5.569599999999999,2,17.216707939626428,17.216707939626428,17.216707939626428
BAL,6.3,2018,2022,4,0,6,36,1,1,0.167,0.027889000000000004,0,1,2,0,0,30,30,Baltimore Orioles,TB,Maryland,22013100,0,0,28,162,28,784,Alex Cobb,7500000,7,205.0,14,0.333,0.11088900000000002,0.173,0.173,0.029928999999999997,0.167,0.027889000000000004,0.167,0.027889000000000004,SP,0.2901234567901234,0,0,UFA,7500000,14000000,0.058,14000000,13.46,181.1716,0,0,57000000,14250000,73000000,57000000,14250000,47,0.8,0.6400000000000001,3,15.830413578506539,16.454567887579532,16.454567887579532
NYM,6.3,2018,2021,3,1,319,101761,71,5041,0.223,0.049729,1000000,2,8,18,324,31,30,New York Mets,CLE,New York,75547499,9,81,95,162,84,7056,Jay Bruce,10000000,5,230.0,9,0.68,0.4624000000000001,0.586,0.519,0.269361,0.31,0.0961,0.37,0.1369,RF,0.4753086419753086,37,1369,UFA,11000000,10000000,0.073,11000000,0.0,0.0,1,1,39000000,13000000,89635000,39000000,13000000,77,1.6643327556325829,2.770003521471547,2,16.213405830762646,16.11809565095832,16.213405830762646
LAA,5.858590733590735,2018,2021,3,0,224,50176,49,2401,0.219,0.047961,0,5,3,13,169,32,32,Los Angeles Angels,CIN,California,25695416,5,25,59,162,58,3364,Zack Cozart,12666666,1,205.0,10,0.658,0.432964,0.364,0.358,0.128164,0.296,0.08761599999999999,0.362,0.131044,SS,0.4938271604938271,18,324,UFA,12666666,12666666,0.073,12666666,0.0,0.0,2,4,38000000,12666667,42800000,38000000,12666667,80,0.09,0.0081,1,16.35448437639097,16.35448437639097,16.35448437639097
TEX,6.4,2018,2021,3,0,3,9,1,1,0.333,0.11088900000000002,333333,2,4,1,1,30,30,Texas Rangers,KC,Texas,30396090,0,0,28,162,28,784,Mike Minor,9000000,2,210.0,8,1.0,1.0,0.173,0.173,0.029928999999999997,0.333,0.11088900000000002,0.667,0.44488900000000003,SP,0.4135802469135802,0,0,UFA,8333333,8000000,0.059,8333333,61.58,3792.0964,0,0,28000000,9333333,35000000,28000000,9333333,67,3.81,14.5161,0,15.935774054164364,15.89495209964411,15.935774054164364
CHC,6.3,2018,2021,2,0,1,1,0,0,0.0,0.0,0,2,7,0,0,33,33,Chicago Cubs,LAD,Illinois,39953450,0,0,35,163,0,0,Brandon Morrow,9000000,17,205.0,20,0.0,0.0,0.215,0.0,0.0,0.0,0.0,0.0,0.0,RP,0.5828220858895705,0,0,UFA,9000000,9000000,0.046,9000000,0.0,0.0,0,0,21000000,10500000,215545000,21000000,10500000,95,1.3,1.6900000000000002,3,16.012735135300492,16.012735135300492,16.012735135300492
PHI,6.3,2018,2020,2,0,1,1,0,0,0.0,0.0,0,2,4,0,0,31,31,Philadelphia Phillies,TB,Pennsylvania,23836324,0,0,65,162,0,0,Tommy Hunter,9000000,7,250.0,14,0.0,0.0,0.401,0.0,0.0,0.0,0.0,0.0,0.0,RP,0.4938271604938271,0,0,UFA,9000000,9000000,0.086,9000000,24.06,578.8835999999999,0,0,18000000,9000000,169200000,18000000,9000000,80,1.28,1.6384,2,16.012735135300492,16.012735135300492,16.012735135300492
NYM,6.3,2018,2020,2,1,408,166464,87,7569,0.213,0.045369,0,2,8,19,361,32,31,New York Mets,NYY,New York,34846500,18,324,115,162,109,11881,Todd Frazier,8000000,5,220.0,9,0.695,0.4830249999999999,0.71,0.673,0.4529290000000001,0.303,0.091809,0.392,0.15366400000000002,3B,0.4753086419753086,59,3481,UFA,8000000,8000000,0.053,8000000,40.25,1620.0625,0,0,17000000,8500000,89635000,17000000,8500000,77,2.47,6.100900000000001,2,15.89495209964411,15.89495209964411,15.89495209964411
BAL,6.6,2018,2021,2,0,3,9,0,0,0.0,0.0,1500000,1,2,0,0,31,31,Baltimore Orioles,TEX,Maryland,36454400,0,0,30,162,28,784,Andrew Cashner,9500000,7,235.0,14,0.0,0.0,0.185,0.173,0.029928999999999997,0.0,0.0,0.0,0.0,SP,0.2901234567901234,0,0,UFA,9500000,5000000,0.073,9500000,10.48,109.83040000000001,0,0,16000000,8000000,73000000,16000000,8000000,47,0.35,0.12249999999999998,3,16.06680235657077,15.424948470398375,16.06680235657077
NYM,6.0,2018,2021,2,1,27,729,4,16,0.148,0.021903999999999996,0,2,8,0,0,35,34,New York Mets,KC,New York,56179500,0,0,21,162,20,400,Jason Vargas,6000000,5,215.0,9,0.327,0.10692900000000001,0.13,0.124,0.015375999999999999,0.179,0.032041,0.148,0.021903999999999996,SP,0.4753086419753086,0,0,UFA,6000000,6000000,0.04,6000000,12.44,154.75359999999998,0,0,16000000,8000000,89635000,16000000,8000000,77,1.6643327556325829,2.770003521471547,2,15.60727002719233,15.60727002719233,15.60727002719233
MIL,6.3,2018,2020,2,1,56,3136,9,81,0.161,0.025921000000000003,750000,1,5,1,1,30,29,Milwaukee Brewers,SD,Wisconsin,21814609,0,0,36,163,35,1225,Jhoulys Chacin,9500000,1,215.0,5,0.382,0.145924,0.221,0.215,0.046224999999999995,0.203,0.041209,0.179,0.032041,SP,0.588957055214724,1,1,UFA,8750000,8000000,0.08,8750000,70.03,4904.2009,0,0,15500000,7750000,103750000,15500000,7750000,96,1.74,3.0276,0,15.984564258333798,15.89495209964411,15.984564258333798
CHC,6.6,2018,2020,2,1,6,36,1,1,0.167,0.027889000000000004,0,2,7,0,0,32,31,Chicago Cubs,SEA,Illinois,30516915,0,0,81,163,0,0,Steve Cishek,7500000,17,215.0,20,0.333,0.11088900000000002,0.497,0.0,0.0,0.167,0.027889000000000004,0.167,0.027889000000000004,RP,0.5828220858895705,0,0,UFA,7500000,6500000,0.039,7500000,62.36,3888.7696,0,0,13000000,6500000,215545000,13000000,6500000,95,1.98,3.9204,3,15.830413578506539,15.687312734865866,15.830413578506539
BOS,6.3,2018,2020,2,0,404,163216,99,9801,0.245,0.060024999999999995,0,1,3,23,529,32,32,Boston Red Sox,BOS,Massachusetts,25179800,15,225,125,162,104,10816,Mitch Moreland,6500000,14,245.0,24,0.758,0.574564,0.772,0.642,0.41216400000000003,0.325,0.10562500000000001,0.433,0.187489,1B,0.6666666666666666,68,4624,UFA,6500000,6500000,0.029,6500000,39.38,1550.7844000000002,4,16,13000000,6500000,131000000,13000000,6500000,108,1.48,2.1904,9,15.687312734865866,15.687312734865866,15.687312734865866
NYY,6.5,2018,2019,1,1,4,16,0,0,0.0,0.0,0,2,2,0,0,31,30,New York Yankees,STL,New York,37737213,0,0,31,162,29,841,Lance Lynn,1999996,40,270.0,54,0.0,0.0,0.191,0.179,0.032041,0.0,0.0,0.0,0.0,SP,0.6172839506172839,0,0,UFA,1999996,12000000,0.011,12000000,20.31,412.49609999999996,0,0,12000000,12000000,14000000,12000000,12000000,100,0.12,0.0144,27,14.508655738522219,16.300417207752275,16.300417207752275
