Acronimo,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,At-bats,At-bats_2,Bateos,Bateos_2,Bateos_promedio,Bateos_promedio_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Dobles,Dobles_2,Edad,Edad_al_firmar,Equipo,Equipo_anterior,Estado,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_iniciados,Juegos_iniciados_2,Jugador,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_On-base-plus-slugging,Porcentaje_On-base-plus-slugging_2,Porcentaje_juegos,Porcentaje_juegos_iniciados,Porcentaje_juegos_iniciados_2,Porcentaje_on-base,Porcentaje_on-base_2,Porcentaje_slugging,Porcentaje_slugging_2,Posicion,Promedio_victorias,Runs-batted-in,Runs-batted-in_2,Status_agente_libre,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Triples,Triples_2,Valor_contrato,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Valor_promedio_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
LAD,6.2,2013,2016,6,0,58,3364,19,361,0.328,0.10758400000000001,2000000,5,7,3,9,29,29,Los Angeles Dodgers,LAA,California,72397172,0,0,29,162,28,784,Zack Greinke,29000000,25,200,27,0.788,0.620944,0.179,0.173,0.029928999999999997,0.409,0.16728099999999999,0.379,0.143641,SP,0.5679012345679012,4,16,UFA,19000000,17000000,0.08,19000000,59.84,3580.8256000000006,0,0,147000000,24500000,150850000,147000000,24500000,92,4.31,18.576099999999997,6,16.759949537130716,16.64872390202049,16.759949537130716
LAA,6.4,2013,2018,5,1,576,331776,144,20736,0.25,0.0625,2400000,5,8,32,1024,32,31,Los Angeles Angels,TEX,California,57561830,21,441,151,162,142,20164,Josh Hamilton,25000000,1,240,10,0.739,0.546121,0.932,0.877,0.769129,0.307,0.094249,0.432,0.18662399999999998,LF,0.4814814814814814,79,6241,UFA,17400000,15000000,0.123,17400000,7.11,50.5521,5,25,125000000,25000000,153500000,125000000,25000000,78,1.25,1.5625,1,16.671980764184756,16.523560759066484,16.671980764184756
DET,6.0,2013,2018,5,1,4,16,0,0,0.0,0.0,800000,1,4,0,0,29,28,Detroit Tigers,DET,Michigan,25987701,0,0,29,162,29,841,Anibal Sanchez,12000000,11,205,15,0.2,0.04000000000000001,0.179,0.179,0.032041,0.2,0.04000000000000001,0.0,0.0,RP,0.5740740740740741,0,0,UFA,8800000,8000000,0.057,8800000,80.8,6528.639999999999,0,0,80000000,16000000,107775000,80000000,16000000,93,6.1,37.209999999999994,4,15.990262279448435,15.89495209964411,15.990262279448435
ATL,6.3,2013,2018,5,0,391,152881,72,5184,0.184,0.033856,600000,1,3,14,196,28,28,Atlanta Braves,TB,Georgia,36109000,9,81,126,162,111,12321,Melvin Upton,15450000,18,185,23,0.557,0.31024900000000005,0.778,0.685,0.46922500000000006,0.268,0.07182400000000001,0.289,0.08352099999999998,LF,0.5925925925925926,26,676,UFA,13050000,12450000,0.137,13050000,0.71,0.5041,0,0,72500000,14500000,77250000,72500000,14500000,96,-1.66,2.7556,3,16.384298691732976,16.33723118087499,16.384298691732976
CHC,4.667260138476748,2013,2017,4,0,52,2704,4,16,0.077,0.005929,2000000,2,10,1,1,29,29,Chicago Cubs,WSH,Illinois,47247999,1,1,31,162,31,961,Edwin Jackson,19000000,17,210,16,0.265,0.07022500000000001,0.191,0.191,0.036481,0.111,0.012321,0.154,0.023716,SP,0.4074074074074074,4,16,UFA,13000000,11000000,0.13,13000000,10.52,110.67039999999999,0,0,52000000,13000000,73850000,52000000,13000000,66,-1.3,1.6900000000000002,2,16.38045991542581,16.213405830762646,16.38045991542581
SF,6.2,2013,2017,4,0,280,78400,79,6241,0.282,0.07952399999999998,1250000,5,6,16,256,31,31,San Francisco Giants,SF,California,23633500,5,25,71,162,66,4356,Angel Pagan,12000000,23,202,23,0.749,0.561001,0.438,0.407,0.165649,0.334,0.11155600000000002,0.414,0.171396,LF,0.4691358024691358,30,900,UFA,8250000,7000000,0.059,8250000,0.0,0.0,3,9,40000000,10000000,80750000,40000000,10000000,76,0.91,0.8281000000000001,7,15.925723758310864,15.761420707019587,15.925723758310864
BOS,5.9,2013,2016,3,0,477,227529,139,19321,0.291,0.08468099999999999,0,1,10,25,625,32,32,Boston Red Sox,LAD,Massachusetts,39495000,15,225,122,162,117,13689,Shane Victorino,13000000,13,160,21,0.795,0.6320250000000001,0.753,0.722,0.521284,0.349,0.12180099999999998,0.447,0.19980900000000001,RF,0.5987654320987654,61,3721,UFA,13000000,13000000,0.076,13000000,80.81,6530.2561000000005,2,4,39000000,13000000,130700000,39000000,13000000,97,6.02,36.240399999999994,8,16.38045991542581,16.38045991542581,16.38045991542581
MIL,6.2,2013,2016,3,0,55,3025,8,64,0.146,0.021315999999999998,0,1,7,0,0,34,34,Milwaukee Brewers,STL,Wisconsin,61590000,0,0,33,162,32,1024,Kyle Lohse,4350000,1,214,4,0.306,0.093636,0.204,0.198,0.039204,0.161,0.025921000000000003,0.145,0.021025,SP,0.4567901234567901,3,9,UFA,4350000,4000000,0.049,4350000,48.74,2375.5876000000003,0,0,33000000,11000000,43300000,33000000,11000000,74,2.99,8.940100000000001,0,15.285686403064867,15.201804919084164,15.285686403064867
BOS,6.3,2013,0,2,0,518,268324,160,25600,0.309,0.095481,500000,1,10,38,1444,37,37,Boston Red Sox,BOS,Massachusetts,113201000,30,900,137,162,135,18225,David Ortiz,15050000,13,230,21,0.959,0.919681,0.846,0.833,0.693889,0.395,0.15602500000000002,0.564,0.31809599999999993,DH,0.5987654320987654,103,10609,UFA,14550000,14000000,0.085,14550000,91.86,8438.2596,2,4,29000000,14500000,130700000,29000000,14500000,97,4.42,19.5364,8,16.493101551581777,16.454567887579532,16.493101551581777
DET,6.2,2013,2015,2,0,606,367236,184,33856,0.304,0.092416,0,1,4,37,1369,37,37,Detroit Tigers,LAA,Michigan,147750000,17,289,144,162,138,19044,Torii Hunter,12200000,11,205,15,0.8,0.6400000000000001,0.889,0.852,0.725904,0.334,0.11155600000000002,0.465,0.21622500000000003,RF,0.5740740740740741,84,7056,UFA,12000000,12000000,0.077,12000000,45.26,2048.4676,5,25,26000000,13000000,107775000,26000000,13000000,93,2.6,6.760000000000001,4,16.300417207752275,16.300417207752275,16.300417207752275
KC,6.1,2013,2016,3,1,4,16,1,1,0.25,0.0625,0,2,5,0,0,34,33,Kansas City Royals,KC,Missouri,28250000,0,0,33,162,33,1089,Jeremy Guthrie,5000000,2,205,7,0.5,0.25,0.204,0.204,0.04161599999999999,0.25,0.0625,0.25,0.0625,SP,0.5308641975308642,0,0,UFA,5000000,5000000,0.059,5000000,30.71,943.1041,0,0,25000000,8333333,26100000,25000000,8333333,86,1.55,2.4025000000000003,1,15.424948470398375,15.424948470398375,15.424948470398375
