Acronimo,Agente libre,Altura,Anio,Anio_de_agente_libre,Anio_inicio_de_contrato,Anios_de_contrato,At-bats,At-bats_2,Bateos,Bateos_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Home-runs,Home-runs_2,Juegos,Juegos totales,Juegos_2,Jugador,OPS,OPS_2,Pennants won,Peso,Playoffs,Porcentaje_bateo,Porcentaje_bateo_2,Porcetnaje_juegos,Porcetnaje_juegos_2,Posicion,Promedio_victorias,RBI,RBI_2,Sueldo_ajustado,Sueldo_base,Sueldo_regular,TVS,TVS_2,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
LAA,No,6.2,2,2013,2008,5,534,285156,167,27889,500000,5,4,36,32,Los Angeles Angels,California,135550000,16,256,140,162,19600,Torii Hunter,0.817,0.6674889999999999,1,205,10,0.313,0.097969,0.864,0.7464959999999999,RF,0.5493827160493827,92,8464,18500000,18000000,18500000,54.52,2972.4304,321150000,90000000,89,5.35,28.622499999999995,1,16.733281290048552,16.70588231586044,16.733281290048552
LAA,Si,0.0,2,2013,2010,2,438,191844,106,11236,0,5,4,38,35,Los Angeles Angels,California,401311,6,36,200,162,40000,Bobby Abreu,0.693,0.4802489999999999,1,0,10,0.242,0.058564,0.617,0.380689,LF,0.5493827160493827,48,2304,8598689,8598689,8598689,31.92,1018.8864000000001,321150000,19000000,89,-0.48,0.2304,1,15.96712030774283,15.96712030774283,15.96712030774283
LAA,No,5.8,2,2013,2010,3,289,83521,74,5476,166667,5,4,31,29,Los Angeles Angels,California,13907000,2,4,100,162,10000,Maicer Izturis,0.634,0.40195600000000004,1,155,10,0.256,0.065536,0.617,0.380689,2B,0.5493827160493827,20,400,3966667,3800000,3966667,11.55,133.4025,321150000,10000000,89,0.2,0.04000000000000001,1,15.193436753447259,15.150511624696614,15.193436753447259
LAA,No,0.0,2,0,2010,3,221,48841,53,2809,83334,5,4,29,26,Los Angeles Angels,California,9924000,9,81,79,162,6241,Chris Iannetta,0.73,0.5328999999999999,1,230,10,0.24,0.0576,0.488,0.238144,C,0.5493827160493827,26,676,3633334,3550000,3633334,0.0,0.0,321150000,8350000,89,1.29,1.6641000000000001,1,15.105661242017485,15.082458161451598,15.105661242017485
LAA,No,6.5,2,2013,2009,4,4,16,0,0,0,5,4,31,28,Los Angeles Angels,California,48273500,0,0,31,162,961,Dan Haren,0.0,0.0,1,215,10,0.0,0.0,0.191,0.036481,SP,0.5493827160493827,0,0,12750000,12750000,12750000,13.49,181.9801,321150000,44750000,89,-0.13,0.016900000000000002,1,16.36104182956871,16.36104182956871,16.36104182956871
LAA,No,6.2,2,2014,2009,4,4,16,0,0,0,5,4,29,26,Los Angeles Angels,California,31236000,0,0,30,162,900,Ervin Santana,0.0,0.0,1,175,10,0.0,0.0,0.185,0.034225,SP,0.5493827160493827,0,0,11200000,11200000,11200000,1.69,2.8560999999999996,321150000,30000000,89,-1.08,1.1664,1,16.231424336265324,16.231424336265324,16.231424336265324
DET,No,6.4,2,0,2008,8,622,386884,205,42025,0,1,3,29,24,Detroit Tigers,Michigan,98627573,44,1936,161,162,25921,Miguel Cabrera,0.999,0.998001,11,249,14,0.33,0.10890000000000001,0.994,0.988036,1B,0.5432098765432098,139,19321,21000000,21000000,21000000,96.42,9296.8164,221000000,152300000,88,7.14,50.9796,4,16.860032995687696,16.860032995687696,16.860032995687696
DET,No,6.5,2,2015,2010,5,4,16,0,0,166668,1,3,29,26,Detroit Tigers,Michigan,49191000,0,0,33,162,1089,Justin Verlander,0.0,0.0,11,225,14,0.0,0.0,0.204,0.04161599999999999,SP,0.5432098765432098,0,0,20166668,20000000,20166668,94.58,8945.3764,221000000,80000000,88,8.09,65.4481,4,16.81954170044866,16.811242831518264,16.81954170044866
DET,No,6.5,2,0,2010,4,14,196,0,0,0,1,3,21,18,Detroit Tigers,Michigan,3525000,0,0,10,162,100,Jacob Turner,0.0,0.0,11,215,14,0.0,0.0,0.062,0.0038439999999999998,RP,0.5432098765432098,0,0,1175000,1175000,1175000,0.0,0.0,221000000,5500000,88,-0.19,0.0361,4,13.976778705560397,13.976778705560397,13.976778705560397
MIA,No,6.7,2,2014,2010,4,53,2809,5,25,0,2,6,28,25,Miami Marlins,Florida,27749000,0,0,31,162,961,Josh Johnson,0.222,0.049284,2,225,2,0.094,0.008836,0.191,0.036481,SP,0.4259259259259259,2,4,13750000,13750000,13750000,36.56,1336.6336000000001,203300000,39000000,69,,,2,16.436549382076855,16.436549382076855,16.436549382076855
