"Rank","Player","Pos","Team","GP","GS","IP","H","R","ER","BB","SO","W","L","SV","WHIP","ERA","WAR","TVS","Cash2023","Age","Weight","Height",""
"","Patrick Corbin","SP","WSH","31","31","152.7","210","119","107","49","128","6","19","0","1.70","6.31","-2.44","0.16","$24,000,000","32","220","6'4""",""
"","Carlos Carrasco","SP","NYM","29","29","152.0","161","71","67","41","152","15","7","0","1.33","3.97","1.21","39.97","$14,000,000","35","224","6'4""",""
"","Luis Castillo","SP","SEA","25","25","150.3","118","56","50","45","167","9","6","0","1.08","2.99","3.02","81.18","$17,000,000","29","200","6'2""",""
"","Alex Cobb","SP","SF","28","28","149.7","152","72","62","43","151","7","8","0","1.30","3.73","2.29","54.84","$9,000,000","34","205","6'3""",""
"","Josiah Gray","SP","WSH","28","29","148.7","136","84","83","66","154","7","10","0","1.36","5.03","0.46","18.74","$0","24","190","6'1""",""
"","Patrick Sandoval","SP","LAA","27","27","148.7","139","56","48","60","151","6","9","0","1.34","2.91","3.26","77.26","$2,829,783","25","190","6'3""",""
"","Cristian Javier","SP","HOU","30","25","148.7","89","44","42","52","194","11","9","0","0.95","2.54","3.73","91.14","$3,113,231","25","213","6'1""",""
"","Joe Ryan","SP","MIN","27","27","147.0","115","60","58","47","151","13","8","0","1.10","3.55","2.14","75.65","$0","26","205","6'2""",""
"","Drew Rasmussen","SP","TB","28","28","146.0","121","51","46","31","125","11","7","0","1.04","2.84","3.06","87.76","$0","26","211","6'1""",""
"","Max Scherzer","SP","NYM","23","22","145.3","108","39","37","24","173","11","5","0","0.91","2.29","5.25","56.65","$43,333,333","37","208","6'3""",""
"","Frankie Montas","SP","NYY","27","27","144.3","137","72","65","43","142","5","12","0","1.25","4.05","1.71","45.68","$765,936","29","255","6'2""",""
"","JT Brubaker","SP","PIT","28","28","144.0","157","85","75","54","147","3","12","0","1.47","4.69","0.29","21.91","$1,630,910","28","185","6'3""",""
"","Dylan Bundy","SP","MIN","29","29","140.0","151","79","76","28","94","8","8","0","1.28","4.89","-0.32","20.00","$0","29","200","6'1""",""
"","Brad Keller","RP","KC","35","22","139.7","153","86","79","57","102","6","14","1","1.50","5.09","0.15","0.00","$6,559,988","26","255","6'5""",""
"","Marcus Stroman","SP","CHC","25","25","138.7","123","61","54","36","119","7","7","0","1.15","3.51","2.55","28.41","$25,000,000","31","180","5'7""",""
"","Chris Flexen","RP","SEA","33","22","137.7","132","61","57","51","95","8","9","2","1.33","3.73","1.34","0.00","$8,000,000","28","250","6'3""",""
"","Zack Greinke","SP","KC","26","26","137.0","157","65","56","27","73","4","9","0","1.34","3.68","2.45","32.42","$0","38","200","6'2""",""
"","Chad Kuhl","SP","COL","27","27","137.0","155","91","87","58","110","6","11","0","1.55","5.72","-0.02","8.58","$0","29","210","6'3""",""
"","Glenn Otto","SP","TEX","27","27","135.7","119","74","70","62","107","7","10","0","1.33","4.64","0.42","29.69","$0","26","240","6'3""",""
"","Jeffrey Springs","SP","TB","33","25","135.3","114","42","37","31","144","9","5","0","1.07","2.46","3.67","82.06","$3,000,000","29","180","6'3""",""
"","Noah Syndergaard","SP","PHI","25","24","134.7","138","62","59","31","95","10","10","0","1.25","3.94","1.08","23.54","$13,000,000","29","240","6'6""",""
"","Ross Stripling","SP","TOR","32","24","134.3","117","49","45","20","111","10","4","1","1.02","3.02","2.75","75.63","$12,500,000","32","220","6'3""",""
"","Zach Davies","SP","ARI","27","27","134.3","122","66","61","52","102","2","5","0","1.29","4.09","0.61","29.71","$0","29","180","6'0""",""
"","James Kaprielian","SP","OAK","27","26","134.0","121","68","63","59","98","5","9","0","1.34","4.23","1.18","29.12","$0","28","210","6'3""",""
"","Daniel Lynch","SP","KC","27","27","131.7","155","79","75","52","122","4","13","0","1.57","5.13","0.70","20.38","$0","25","190","6'6""",""
"","Zach Plesac","SP","CLE","25","24","131.7","136","74","63","38","100","3","12","0","1.32","4.31","-0.83","21.64","$2,900,000","27","220","6'3""",""
"","Spencer Strider","SP","ATL","31","20","131.7","86","42","39","45","202","11","5","0","1.00","2.67","3.81","91.64","$1,000,000","23","195","6'0""",""
"","Alex Wood","SP","SF","26","26","130.7","132","78","74","30","131","8","12","0","1.24","5.10","0.19","18.96","$14,000,000","31","215","6'4""",""
"","Anthony Gonsolin","SP","LAD","24","24","130.3","79","32","31","35","119","16","1","0","0.88","2.14","4.62","98.73","$3,860,377","28","205","6'3""",""
"","George Kirby","SP","SEA","25","25","130.0","135","54","49","22","133","8","5","0","1.21","3.39","1.37","70.55","$0","24","201","6'4""",""
"","Kris Bubic","SP","KC","28","27","129.0","156","87","80","63","110","3","13","0","1.70","5.58","-0.36","8.04","$1,750,000","24","220","6'3""",""
"","Reid Detmers","SP","LAA","25","25","129.0","110","56","54","46","122","7","6","0","1.21","3.77","2.20","64.54","$0","22","210","6'2""",""
"","Blake Snell","SP","SD","25","24","128.0","103","51","48","51","171","8","10","0","1.20","3.38","2.02","53.43","$16,000,000","29","225","6'4""",""
"","Michael Wacha","SP","BOS","23","23","127.3","111","49","47","31","104","11","2","0","1.12","3.32","3.31","81.44","$0","31","215","6'6""",""
"","Jon Gray","SP","TEX","24","24","127.3","105","61","56","39","134","7","7","0","1.13","3.96","1.33","36.74","$15,000,000","30","225","6'4""",""
"","Erick Fedde","SP","WSH","27","27","127.0","149","84","82","58","94","6","13","0","1.63","5.81","0.00","15.67","$0","29","200","6'4""",""
"","Clayton Kershaw","SP","LAD","22","22","126.3","96","36","32","23","137","12","3","0","0.94","2.28","3.54","85.28","$20,000,000","34","225","6'4""",""
"","Hunter Greene","SP","CIN","24","24","125.7","104","64","62","48","164","5","13","0","1.21","4.44","2.14","37.96","$0","22","230","6'5""",""
"","Dean Kremer","SP","BAL","22","21","125.3","123","48","45","34","87","8","7","0","1.25","3.23","2.86","79.95","$0","26","200","6'2""",""
"","Austin Gomber","RP","COL","33","17","124.7","137","80","77","34","95","5","7","0","1.37","5.56","0.23","0.00","$1,929,006","28","220","6'5""",""
"","Rich Hill","SP","BOS","26","26","124.3","125","67","59","37","109","8","7","0","1.30","4.27","0.85","29.72","$8,000,000","42","221","6'5""",""
"","Lance Lynn","SP","CHW","21","21","121.7","119","65","54","19","124","8","7","0","1.13","4.00","0.73","19.47","$18,500,000","35","270","6'5""",""
"","Zach Thompson","RP","PIT","29","22","121.7","138","76","70","46","90","3","10","0","1.51","5.18","-0.25","0.00","$0","28","230","6'7""",""
"","Tyler Mahle","SP","MIN","23","23","120.7","104","61","59","43","126","6","8","0","1.22","4.40","2.01","49.70","$7,608,337","27","210","6'3""",""
"","Michael Kopech","SP","CHW","25","25","119.3","85","53","47","57","105","5","9","0","1.19","3.55","2.18","62.59","$2,201,135","26","210","6'3""",""
"","Justin Steele","SP","CHC","24","24","119.0","111","53","42","50","126","4","7","0","1.35","3.18","2.01","64.05","$0","26","205","6'2""",""
"","Kyle Bradish","SP","BAL","23","23","117.7","119","68","64","46","111","4","7","0","1.40","4.90","0.37","25.25","$0","25","190","6'4""",""
"","Tarik Skubal","SP","DET","21","20","117.7","104","53","46","32","117","7","8","0","1.16","3.52","1.29","70.54","$0","25","215","6'3""",""
"","Bryse Wilson","SP","PIT","25","20","115.7","132","80","71","32","79","3","9","0","1.42","5.52","-0.98","8.72","$0","24","225","6'2""",""
"","Keegan Thompson","SP","CHC","29","17","115.0","103","54","48","43","108","10","5","1","1.27","3.76","1.23","45.80","$0","27","210","6'1""",""
"","Mike Clevinger","SP","SD","23","22","114.3","102","56","55","35","91","7","7","0","1.20","4.33","0.62","32.17","$8,000,000","31","215","6'4""",""
"","Paul Blackburn","SP","OAK","21","21","111.3","110","53","53","30","89","7","6","0","1.26","4.28","1.36","48.06","$2,562,665","28","196","6'1""",""
"","Nathan Eovaldi","SP","BOS","20","20","109.3","115","55","47","20","103","6","3","0","1.24","3.87","1.13","17.60","$18,000,000","32","217","6'2""",""
"","Andre Pallante","RP","STL","47","10","108.0","113","39","38","40","73","6","5","0","1.42","3.17","1.36","0.00","$0","23","0","0'0""",""
"","Aaron Ashby","SP","MIL","27","19","107.3","106","62","53","47","126","2","10","1","1.42","4.44","-0.58","15.14","$2,000,000","24","181","6'2""",""
"","Trevor Rogers","SP","MIA","23","23","107.0","116","69","65","45","106","4","11","0","1.50","5.47","-0.53","10.77","$0","24","217","6'5""",""
"","Drew Smyly","SP","CHC","22","22","106.3","101","46","41","26","91","7","8","0","1.19","3.47","1.86","48.73","$8,000,000","33","188","6'2""",""
"","Jake Odorizzi","SP","ATL","22","22","106.3","106","58","52","35","86","6","6","0","1.33","4.40","0.12","22.57","$4,500,000","32","190","6'2""",""
"","Nick Martinez","RP","SD","47","10","106.3","96","44","41","41","95","4","4","8","1.29","3.47","1.04","0.00","$10,000,000","31","175","6'1""",""
"","David Peterson","RP","NYM","28","19","105.7","93","50","45","48","126","7","5","0","1.33","3.83","0.79","0.00","$0","26","240","6'6""",""
"","Spenser Watkins","SP","BAL","23","20","105.3","119","59","55","30","63","5","6","0","1.41","4.70","0.04","26.00","$0","29","185","6'2""",""
"","Graham Ashcraft","SP","CIN","19","19","105.0","119","61","57","30","71","5","6","0","1.42","4.89","1.34","48.39","$0","24","0","0'0""",""
"","Adrian Sampson","SP","CHC","21","19","104.3","101","40","36","27","73","4","5","0","1.23","3.11","2.09","68.49","$1,900,000","30","210","6'3""",""
"","Jon Heasley","SP","KC","21","21","104.0","108","67","61","47","70","4","10","0","1.49","5.28","0.22","16.34","$0","25","225","6'3""",""
"","Tyler Wells","SP","BAL","23","23","103.7","90","49","49","28","76","7","7","0","1.14","4.25","1.23","51.18","$0","27","265","6'8""",""
"","Nick Lodolo","SP","CIN","19","19","103.3","90","44","42","39","131","4","7","0","1.25","3.66","2.69","58.67","$0","24","0","0'0""",""
"","Chris Archer","SP","MIN","25","25","102.7","87","56","52","48","84","2","8","0","1.32","4.56","0.00","19.89","$0","33","195","6'2""",""
"","Adrian Houser","SP","MIL","22","21","102.7","103","66","54","47","69","6","10","0","1.46","4.73","-0.82","22.46","$3,600,000","29","222","6'3""",""
"","Luis Severino","SP","NYY","19","19","102.0","72","37","36","30","112","7","4","0","1.00","3.18","1.61","49.41","$15,000,000","28","215","6'2""",""
"","Austin Voth","SP","BAL","41","17","101.7","111","52","49","31","90","5","4","0","1.40","4.34","-0.81","12.12","$1,818,519","30","201","6'2""",""
"","Tyler Alexander","SP","DET","27","17","101.0","108","58","54","25","61","4","11","0","1.32","4.81","-0.24","18.67","$1,875,000","27","200","6'2""",""
"","Yusei Kikuchi","RP","TOR","32","20","100.7","93","67","58","58","124","6","7","1","1.50","5.19","-1.07","0.00","$10,000,000","31","194","6'0""",""
"","Jesus Luzardo","SP","MIA","18","18","100.3","69","40","37","35","120","4","7","0","1.04","3.32","2.02","69.36","$2,093,772","24","218","6'0""",""
"","Taylor Hearn","RP","TEX","31","13","100.0","107","60","57","43","97","6","8","1","1.50","5.13","-0.57","0.00","$1,820,811","27","210","6'5""",""
"","Mike Minor","SP","CIN","19","19","98.0","120","72","66","40","76","4","12","0","1.63","6.06","-0.64","1.74","$0","34","210","6'4""",""
"","Michael Lorenzen","SP","LAA","18","18","97.7","81","48","46","44","85","8","6","0","1.28","4.24","0.62","41.56","$8,500,000","30","220","6'3""",""
"","Ryan Feltner","SP","COL","20","19","97.3","102","65","63","35","84","4","9","0","1.41","5.83","-0.16","11.98","$0","25","190","6'4""",""
"","Jose Urena","SP","COL","21","17","97.0","109","62","54","43","63","3","8","0","1.57","5.01","-0.07","16.79","$3,000,000","30","208","6'2""",""
"","Aaron Civale","SP","CLE","20","20","97.0","93","58","53","22","98","5","6","0","1.19","4.92","-0.91","24.36","$2,434,205","27","215","6'2""",""
"","Antonio Senzatela","SP","COL","19","19","92.3","133","56","52","23","54","3","7","0","1.69","5.07","0.50","6.85","$7,250,000","27","236","6'1""",""
"","Eduardo Rodriguez","SP","DET","17","17","91.0","87","49","41","34","72","5","5","0","1.33","4.06","0.13","19.27","$14,000,000","29","231","6'2""",""
"","Trevor Williams","RP","NYM","30","10","89.7","87","34","32","23","84","3","5","1","1.23","3.21","1.30","0.00","$6,000,000","30","230","6'3""",""
"","Braxton Garrett","SP","MIA","17","17","88.0","86","38","35","24","90","3","7","0","1.25","3.58","1.17","51.27","$0","24","202","6'2""",""
"","Kyle Hendricks","SP","CHC","16","16","84.3","85","45","45","24","66","4","6","0","1.29","4.80","0.53","11.84","$14,000,000","32","190","6'3""",""
"","Bailey Falter","SP","PHI","20","16","84.0","85","39","36","17","74","6","4","0","1.21","3.86","1.20","38.01","$0","25","175","6'4""",""
"","Brock Burke","RP","TEX","52","0","82.3","63","25","18","24","90","7","5","0","1.06","1.97","2.33","94.10","$0","25","180","6'4""",""
"","Keegan Akin","RP","BAL","45","1","81.7","69","35","29","20","77","3","3","2","1.09","3.20","0.80","0.00","$0","27","235","6'0""",""
"","Beau Brieske","SP","DET","15","15","81.7","73","39","38","25","54","3","6","0","1.20","4.19","0.73","0.00","$0","24","0","0'0""",""
"","Luis Cessa","SP","CIN","46","10","80.7","76","44","41","28","59","4","4","0","1.29","4.57","0.45","11.96","$2,427,503","30","208","6'0""",""
"","Ryan Yarbrough","SP","TB","20","9","80.0","88","44","40","22","61","3","8","0","1.38","4.50","0.06","13.37","$3,000,000","30","205","6'5""",""
"","Jaime Barria","RP","LAA","35","1","79.3","63","29","23","19","54","3","3","0","1.03","2.61","1.82","0.00","$1,498,800","25","210","6'1""",""
"","Garrett Whitlock","RP","BOS","31","9","78.3","65","32","30","15","82","4","2","6","1.02","3.45","1.79","0.00","$1,000,000","26","190","6'5""",""
"","Kutter Crawford","SP","BOS","21","12","77.3","81","49","47","29","77","3","6","0","1.42","5.47","0.20","14.31","$0","26","209","6'1""",""
"","Wil Crowe","RP","PIT","60","1","76.0","68","40","37","38","68","6","10","4","1.39","4.38","0.09","41.06","$0","27","228","6'2""",""
"","Zach Eflin","RP","PHI","20","13","75.7","70","38","34","15","65","3","5","1","1.12","4.04","0.94","0.00","$11,000,000","28","215","6'6""",""
"","Tyler Rogers","RP","SF","68","0","75.7","73","34","30","23","49","3","4","0","1.27","3.57","0.78","43.78","$1,842,374","31","187","6'5""",""
"","Vincent Velasquez","RP","CHW","27","9","75.3","68","42","40","25","69","3","3","0","1.24","4.78","0.23","0.00","$3,150,000","30","205","6'3""",""
"","Scott Barlow","RP/CL","KC","69","0","74.3","52","23","18","22","77","7","4","24","1.00","2.18","2.77","94.53","$5,191,166","29","210","6'3""",""
"","Adam Oller","SP","OAK","19","14","74.3","82","55","52","39","46","2","8","0","1.63","6.30","-0.97","1.91","$0","27","225","6'4""",""
"","Matt Moore","RP","TEX","63","0","74.0","49","20","16","38","83","5","2","5","1.18","1.95","2.30","82.96","$0","33","210","6'3""",""
"","Dillon Tate","RP","BAL","67","0","73.7","57","29","25","16","60","4","4","5","0.99","3.05","1.55","73.54","$1,472,379","28","195","6'2""",""
"","Andrew Heaney","SP","LAD","16","14","72.7","60","34","25","19","110","4","4","0","1.09","3.10","0.83","0.00","$12,000,000","31","200","6'2""",""
"","Emmanuel Clase","RP/CL","CLE","77","0","72.7","43","18","11","10","77","3","4","42","0.73","1.36","2.91","98.80","$1,500,000","24","206","6'2""",""
"","Domingo German","SP","NYY","15","14","72.3","65","31","29","19","58","2","5","0","1.16","3.61","0.90","0.00","$3,010,113","29","181","6'2""",""
"","Griffin Jax","RP","MIN","65","0","72.3","56","29","27","20","78","7","4","1","1.05","3.36","0.86","68.12","$0","27","195","6'2""",""
"","Chase De Jong","RP","PIT","42","0","71.7","52","24","21","30","59","6","3","1","1.14","2.64","1.50","0.00","$0","28","230","6'4""",""
"","Edward Cabrera","SP","MIA","14","14","71.7","44","24","24","33","75","6","4","0","1.07","3.01","2.08","0.00","$0","24","175","6'4""",""
"","Jason Alexander","RP","MIL","18","11","71.7","88","47","43","28","46","2","3","0","1.62","5.40","-0.83","0.00","$0","29","0","0'0""",""
"","Jorge Lopez","RP/CL","MIN","67","0","71.0","53","26","20","31","72","4","7","23","1.18","2.54","1.88","85.76","$3,622,245","29","200","6'3""",""
"","Adam Cimber","RP","TOR","77","0","70.7","66","28","22","13","58","10","6","4","1.12","2.80","0.83","59.03","$2,850,000","31","195","6'3""",""
"","Anthony Bass","RP","TOR","74","0","70.3","51","15","12","20","73","4","3","0","1.01","1.54","1.72","74.32","$3,000,000","34","200","6'2""",""
"","A.J. Minter","RP","ATL","75","0","70.0","49","21","16","15","94","5","4","5","0.91","2.06","1.85","80.52","$5,362,117","28","215","6'0""",""
"","Caleb Smith","RP","ARI","44","1","70.0","57","35","32","39","65","1","3","0","1.37","4.11","0.00","0.00","$0","30","205","6'2""",""
"","MacKenzie Gore","RP","WSH","16","13","70.0","66","35","35","37","72","4","4","0","1.47","4.50","0.23","0.00","$0","23","195","6'3""",""
"","Bryan Baker","RP","BAL","66","2","69.7","60","29","27","26","76","4","3","1","1.23","3.49","1.12","54.87","$0","27","245","6'6""",""
"","Anibal Sanchez","SP","WSH","14","14","69.3","55","34","33","33","48","4","6","0","1.27","4.28","0.85","0.00","$0","38","205","6'0""",""
"","Jesse Chavez","RP","ATL","60","1","69.3","71","34","29","20","74","4","3","0","1.31","3.76","-0.08","32.10","$0","38","175","6'2""",""
"","Collin McHugh","RP","ATL","58","0","69.3","51","20","20","14","75","3","2","0","0.94","2.60","1.97","70.04","$5,000,000","35","190","6'2""",""
"","Penn Murfee","RP","SEA","64","1","69.3","48","23","23","18","76","4","0","0","0.95","2.99","1.03","77.87","$0","28","0","0'0""",""
"","Jimmy Herget","RP","LAA","49","1","69.0","48","20","19","15","63","2","1","9","0.91","2.48","2.22","95.14","$0","28","170","6'3""",""
"","Rafael Montero","RP","HOU","71","0","68.3","47","22","18","23","73","5","2","14","1.02","2.37","1.22","78.90","$11,500,000","31","185","6'0""",""
"","John Brebbia","RP","SF","76","11","68.0","71","27","24","18","54","6","2","0","1.31","3.18","1.57","52.04","$2,037,793","32","200","6'1""",""
"","Dylan Coleman","RP","KC","68","0","68.0","47","26","21","37","71","5","2","0","1.24","2.78","1.62","62.23","$0","25","230","6'5""",""
"","Mark Leiter Jr.","RP","CHC","35","4","67.7","52","32","30","25","73","2","7","3","1.14","3.99","0.75","0.00","$0","31","210","6'0""",""
"","Domingo Acevedo","RP","OAK","70","0","67.7","50","26","25","17","58","4","4","4","0.99","3.33","1.26","58.60","$0","28","240","6'7""",""
"","Jhoan Duran","RP","MIN","57","0","67.7","50","15","14","16","89","2","4","8","0.98","1.86","2.76","93.30","$0","24","230","6'5""",""
"","Camilo Doval","RP/CL","SF","68","0","67.7","54","27","19","30","80","6","6","27","1.24","2.53","1.84","88.98","$0","24","180","6'2""",""
"","Nabil Crismatt","RP","SD","50","1","67.3","57","29","22","22","65","5","2","0","1.17","2.94","0.37","0.00","$0","27","220","6'1""",""
"","Josh Winder","SP","MIN","15","11","67.0","69","37","35","18","47","4","6","0","1.30","4.70","0.21","0.00","$0","25","210","6'5""",""
"","Brent Suter","RP","MIL","54","0","66.7","58","32","28","22","53","5","3","0","1.20","3.78","0.26","29.00","$3,000,000","32","213","6'4""",""
"","Kyle Finnegan","RP/CL","WSH","66","0","66.7","54","28","26","22","70","6","3","11","1.14","3.51","0.81","63.05","$2,042,038","30","200","6'2""",""
"","Steve Cishek","RP","WSH","69","0","66.3","54","33","31","27","74","1","4","1","1.22","4.21","0.25","17.51","$0","36","215","6'6""",""
"","A.J. Puk","RP","OAK","62","0","66.3","53","27","23","23","76","4","3","4","1.15","3.12","0.99","52.35","$0","27","248","6'7""",""
"","Adam Ottavino","RP","NYM","67","0","65.7","48","15","15","16","79","5","3","3","0.98","2.06","2.14","70.39","$0","36","246","6'5""",""
"","Phil Maton","RP","HOU","67","0","65.7","58","34","28","24","73","0","2","0","1.25","3.84","-0.05","17.09","$3,674,178","29","206","6'2""",""
"","Felix Bautista","RP/CL","BAL","65","0","65.7","38","18","16","23","88","4","4","15","0.93","2.19","2.62","93.99","$0","27","190","6'5""",""
"","Hector Neris","RP","HOU","70","0","65.3","49","29","27","17","79","6","4","3","1.01","3.72","0.46","26.51","$8,000,000","33","227","6'2""",""
"","Reynaldo Lopez","RP","CHW","61","1","65.3","51","24","20","11","63","6","4","0","0.95","2.76","1.44","75.96","$2,850,000","28","220","6'1""",""
"","Kendall Graveman","RP","CHW","65","0","65.0","65","29","23","26","66","3","4","6","1.40","3.19","0.94","19.27","$8,000,000","31","200","6'2""",""
