Acronimo,Agente_libre,Altura,Anio,Anio_de_agente_libre,Anios_de_contrato,Antiguedad,At_bats,At_bats_2,Bateos,Bateos_2,Bateos_promedio,Bateos_promedio_2,Bono_por_firma,Cantidad de equipos,Cantidad_agentes_libres,Dobles,Dobles_2,Edad,Edad_al_firmar,Equipo,Estado,Ganancias,Home_runs,Home_runs_2,Juegos,Juegos totales,Juegos_iniciados,Juegos_iniciados_2,Jugador,Pago_efectivo,Pennants won,Peso,Playoffs,Porcentaje_On_base_plus_slugging,Porcentaje_On_base_plus_slugging_2,Porcentaje_juegos,Porcentaje_juegos_iniciados,Porcentaje_juegos_iniciados_2,Porcentaje_on_base,Porcentaje_on_base_2,Porcentaje_slugging,Porcentaje_slugging_2,Posicion,Promedio_victorias,Runs_batted_in,Runs_batted_in_2,Sueldo_ajustado,Sueldo_base,Sueldo_porcentual,Sueldo_regular,TVS,TVS_2,Triples,Triples_2,Valor_contrato_promedio,Valor_contrato_total,Valor_del_contrato,Victorias,WAR,WAR_2,WS ganadas,ln_Sueldo_ajustado,ln_Sueldo_base,ln_Sueldo_regular
NYY,No,6.241500000000008,2012,2015,3,2,683,466489,216,46656,0.316,0.099856,0,2,9,32,1024,38,36,New York Yankees,New York,237315981,15,225,159,162,158,24964,Derek Jeter,16000000,40,215.16189000774594,50,0.791,0.625681,0.982,0.975,0.9506249999999999,0.362,0.131044,0.429,0.18404099999999998,SS,0.5864197530864198,58,3364,16000000,16000000,0.07,16000000,23.61,557.4321,0,0,17000000,9100000,51000000,95,2.16,4.6656,27,16.588099280204055,16.588099280204055,16.588099280204055
NYY,No,6.241500000000008,2011,2015,3,1,683,466489,216,46656,0.316,0.099856,0,2,9,32,1024,37,36,New York Yankees,New York,221315981,15,225,159,162,158,24964,Derek Jeter,15000000,40,215.16189000774594,50,0.791,0.625681,0.982,0.975,0.9506249999999999,0.362,0.131044,0.429,0.18404099999999998,SS,0.5864197530864198,58,3364,15000000,15000000,0.071,15000000,23.61,557.4321,0,0,17000000,9100000,51000000,95,2.16,4.6656,27,16.523560759066484,16.523560759066484,16.523560759066484
DET,No,6.4,2012,0,8,5,622,386884,205,42025,0.33,0.10890000000000001,0,1,3,40,1600,29,24,Detroit Tigers,Michigan,98627573,44,1936,161,162,161,25921,Miguel Cabrera,21300000,11,249.0,14,0.999,0.998001,0.994,0.994,0.988036,0.393,0.154449,0.606,0.367236,1B,0.5432098765432098,139,19321,21000000,21000000,0.146,21000000,96.42,9296.8164,0,0,19037500,221000000,152300000,88,7.14,50.9796,4,16.860032995687696,16.860032995687696,16.860032995687696
DET,No,6.4,2011,0,8,4,622,386884,205,42025,0.33,0.10890000000000001,0,1,3,40,1600,28,24,Detroit Tigers,Michigan,77327573,44,1936,161,162,161,25921,Miguel Cabrera,20150000,11,249.0,14,0.999,0.998001,0.994,0.994,0.988036,0.393,0.154449,0.606,0.367236,1B,0.5432098765432098,139,19321,20000000,20000000,0.179,20000000,96.42,9296.8164,0,0,19037500,221000000,152300000,88,7.14,50.9796,4,16.811242831518264,16.811242831518264,16.811242831518264
NYY,No,6.0,2012,0,4,4,627,393129,196,38416,0.313,0.097969,0,2,9,48,2304,29,25,New York Yankees,New York,43021800,33,1089,161,162,159,25281,Robinson Cano,14000000,40,210.0,50,0.929,0.8630410000000001,0.994,0.982,0.964324,0.379,0.143641,0.55,0.30250000000000005,2B,0.5864197530864198,94,8836,14000000,14000000,0.061,14000000,98.76,9753.537600000001,1,1,7500000,9100000,30000000,95,8.44,71.2336,27,16.454567887579532,16.454567887579532,16.454567887579532
NYY,No,6.0,2011,0,4,3,627,393129,196,38416,0.313,0.097969,0,2,9,48,2304,28,25,New York Yankees,New York,29021800,33,1089,161,162,159,25281,Robinson Cano,10000000,40,210.0,50,0.929,0.8630410000000001,0.994,0.982,0.964324,0.379,0.143641,0.55,0.30250000000000005,2B,0.5864197530864198,94,8836,10000000,10000000,0.047,10000000,98.76,9753.537600000001,1,1,7500000,9100000,30000000,95,8.44,71.2336,27,16.11809565095832,16.11809565095832,16.11809565095832
KC,No,6.0,2012,2015,4,2,614,376996,192,36864,0.313,0.097969,500000,2,2,32,1024,26,24,Kansas City Royals,Missouri,15740000,29,841,161,162,158,24964,Billy Butler,8000000,2,260.0,7,0.882,0.7779240000000001,0.994,0.975,0.9506249999999999,0.373,0.139129,0.51,0.2601,DH,0.4444444444444444,107,11449,8500000,8000000,0.121,8500000,76.02,5779.040399999999,1,1,7500000,5000000,30000000,72,3.03,9.1809,1,15.955576721460545,15.89495209964411,15.955576721460545
KC,No,6.0,2011,2015,4,1,614,376996,192,36864,0.313,0.097969,500000,2,2,32,1024,25,24,Kansas City Royals,Missouri,7740000,29,841,161,162,158,24964,Billy Butler,5000000,2,260.0,7,0.882,0.7779240000000001,0.994,0.975,0.9506249999999999,0.373,0.139129,0.51,0.2601,DH,0.4444444444444444,107,11449,3500000,3000000,0.067,3500000,76.02,5779.040399999999,1,1,7500000,5000000,30000000,72,3.03,9.1809,1,15.068273526459642,14.914122846632385,15.068273526459642
MIL,No,6.241500000000008,2012,2022,5,1,598,357604,191,36481,0.319,0.101761,1000000,1,3,36,1296,28,27,Milwaukee Brewers,Wisconsin,19617500,41,1681,154,162,153,23409,Ryan Braun,7000000,1,205.0,4,0.987,0.974169,0.951,0.944,0.8911359999999999,0.391,0.15288100000000002,0.595,0.354025,LF,0.5123456790123457,112,12544,7000000,6000000,0.063,7000000,97.04,9416.761600000002,3,9,21000000,40250000,105000000,83,6.87,47.1969,0,15.761420707019587,15.60727002719233,15.761420707019587
MIL,No,6.241500000000008,2011,2022,5,0,598,357604,191,36481,0.319,0.101761,1000000,1,3,36,1296,27,27,Milwaukee Brewers,Wisconsin,12617500,41,1681,154,162,153,23409,Ryan Braun,5000000,1,205.0,4,0.987,0.974169,0.951,0.944,0.8911359999999999,0.391,0.15288100000000002,0.595,0.354025,LF,0.5123456790123457,112,12544,5000000,4000000,0.054,5000000,97.04,9416.761600000002,3,9,21000000,40250000,105000000,83,6.87,47.1969,0,15.424948470398375,15.201804919084164,15.424948470398375
