"Rank","Player","Year","Pos","Status","Team From","Team From To","YRS","Value","AAV",""
"","Eric Hosmer","2018","1B","UFA","KC","SD","8","$144,000,000","$18,000,000",""
"","Yu Darvish","2018","SP","UFA","LAD","CHC","6","$126,000,000","$21,000,000",""
"","J.D. Martinez","2018","DH","UFA","ARI","BOS","5","$110,000,000","$22,000,000",""
"","Lorenzo Cain","2018","CF","UFA","KC","MIL","5","$80,000,000","$16,000,000",""
"","Jake Arrieta","2018","SP","UFA","CHC","PHI","3","$75,000,000","$25,000,000",""
"","Carlos Santana","2018","1B","UFA","CLE","PHI","3","$60,000,000","$20,000,000",""
"","Alex Cobb","2018","SP","UFA","TB","BAL","4","$57,000,000","$14,250,000",""
"","Wade Davis","2018","RP","UFA","CHC","COL","3","$52,000,000","$17,333,333",""
"","Jay Bruce","2018","RF","UFA","CLE","NYM","3","$39,000,000","$13,000,000",""
"","Zack Cozart","2018","3B","UFA","CIN","LAA","3","$38,000,000","$12,666,667",""
"","Tyler Chatwood","2018","RP","UFA","COL","CHC","3","$38,000,000","$12,666,667",""
"","Mike Minor","2018","SP","UFA","KC","TEX","3","$28,000,000","$9,333,333",""
"","Jake McGee","2018","RP","UFA","COL","COL","3","$27,000,000","$9,000,000",""
"","Bryan Shaw","2018","RP","UFA","CLE","COL","3","$27,000,000","$9,000,000",""
"","Brandon Morrow","2018","RP","UFA","LAD","CHC","2","$21,000,000","$10,500,000",""
"","Tommy Hunter","2018","RP","UFA","TB","PHI","2","$18,000,000","$9,000,000",""
"","Juan Nicasio","2018","RP","UFA","STL","SEA","2","$17,000,000","$8,500,000",""
"","Todd Frazier","2018","3B","UFA","NYY","NYM","2","$17,000,000","$8,500,000",""
"","Addison Reed","2018","RP","UFA","BOS","MIN","2","$16,750,000","$8,375,000",""
"","Pat Neshek","2018","RP","UFA","COL","PHI","2","$16,200,000","$8,100,000",""
"","Andrew Cashner","2018","RP","UFA","TEX","BAL","2","$16,000,000","$8,000,000",""
"","Jason Vargas","2018","SP","UFA","KC","NYM","2","$16,000,000","$8,000,000",""
"","Jhoulys Chacin","2018","SP","UFA","SD","MIL","2","$15,500,000","$7,750,000",""
"","Joe Smith","2018","RP","UFA","CLE","HOU","2","$15,000,000","$7,500,000",""
"","Welington Castillo","2018","C","UFA","BAL","CHW","2","$15,000,000","$7,500,000",""
"","Greg Holland","2018","RP","UFA","COL","STL","1","$14,000,000","$14,000,000",""
"","Anthony Swarzak","2018","RP","UFA","MIL","NYM","2","$14,000,000","$7,000,000",""
"","Steve Cishek","2018","RP","UFA","SEA","CHC","2","$13,000,000","$6,500,000",""
"","Mitch Moreland","2018","1B","UFA","BOS","BOS","2","$13,000,000","$6,500,000",""
"","Lance Lynn","2018","SP","UFA","STL","MIN","1","$12,000,000","$12,000,000",""
"","Luke Gregerson","2018","RP","UFA","HOU","STL","2","$11,000,000","$5,500,000",""
"","Yusmeiro Petit","2018","RP","UFA","LAA","OAK","2","$10,000,000","$5,000,000",""
"","Michael Pineda","2018","SP","UFA","NYY","MIN","2","$10,000,000","$5,000,000",""
"","C.C. Sabathia","2018","SP","UFA","NYY","NYY","1","$10,000,000","$10,000,000",""
"","Jaime Garcia","2018","RP","UFA","NYY","TOR","1","$10,000,000","$10,000,000",""
"","Brandon Kintzler","2018","RP","UFA","WSH","WSH","2","$10,000,000","$5,000,000",""
"","Drew Smyly","2018","SP","UFA","SEA","CHC","2","$10,000,000","$5,000,000",""
"","Tony Watson","2018","RP","UFA","LAD","SF","3","$9,000,000","$3,000,000",""
"","Hector Rondon","2018","RP","UFA","CHC","HOU","2","$8,500,000","$4,250,000",""
"","Chris Iannetta","2018","C","UFA","ARI","COL","2","$8,500,000","$4,250,000",""
"","Alex Avila","2018","C","UFA","CHC","ARI","2","$8,250,000","$4,125,000",""
"","Carlos Gonzalez","2018","RF","UFA","COL","COL","1","$8,000,000","$8,000,000",""
"","Eduardo Nunez","2018","3B","UFA","BOS","BOS","2","$8,000,000","$4,000,000",""
"","Jarrod Dyson","2018","CF","UFA","SEA","ARI","2","$7,500,000","$3,750,000",""
"","Howie Kendrick","2018","2B","UFA","WSH","WSH","2","$7,000,000","$3,500,000",""
"","Brian Duensing","2018","RP","UFA","CHC","CHC","2","$7,000,000","$3,500,000",""
"","Logan Morrison","2018","DH","UFA","TB","MIN","1","$6,500,000","$6,500,000",""
"","Jonathan Lucroy","2018","C","UFA","COL","OAK","1","$6,500,000","$6,500,000",""
"","Mike Moustakas","2018","3B","UFA","KC","KC","1","$6,500,000","$6,500,000",""
"","Michael Fiers","2018","SP","UFA","HOU","DET","1","$6,000,000","$6,000,000",""
"","Matt Albers","2018","RP","UFA","WSH","MIL","2","$5,000,000","$2,500,000",""
"","David Hernandez","2018","RP","UFA","ARI","CIN","2","$5,000,000","$2,500,000",""
"","Curtis Granderson","2018","LF","UFA","LAD","TOR","1","$5,000,000","$5,000,000",""
"","Miguel Gonzalez","2018","SP","UFA","TEX","CHW","1","$4,750,000","$4,750,000",""
"","Jared Hughes","2018","RP","UFA","MIL","CIN","2","$4,500,000","$2,250,000",""
"","Fernando Rodney","2018","RP","UFA","ARI","MIN","1","$4,500,000","$4,500,000",""
"","Craig Stammen","2018","RP","UFA","SD","SD","2","$4,500,000","$2,250,000",""
"","Matt Adams","2018","1B","UFA","ATL","WSH","1","$4,000,000","$4,000,000",""
"","Francisco Liriano","2018","RP","UFA","HOU","DET","1","$4,000,000","$4,000,000",""
"","Doug Fister","2018","SP","UFA","BOS","TEX","1","$4,000,000","$4,000,000",""
"","Neil Walker","2018","2B","UFA","MIL","NYY","1","$4,000,000","$4,000,000",""
"","Carlos Gomez","2018","RF","UFA","TEX","TB","1","$4,000,000","$4,000,000",""
"","Lucas Duda","2018","1B","UFA","TB","KC","1","$3,500,000","$3,500,000",""
"","Cameron Maybin","2018","RF","UFA","HOU","MIA","1","$3,250,000","$3,250,000",""
"","Bud Norris","2018","RP","UFA","LAA","STL","1","$3,000,000","$3,000,000",""
"","Rene Rivera","2018","C","UFA","CHC","LAA","1","$2,800,000","$2,800,000",""
"","Nick Hundley","2018","C","UFA","SF","SF","1","$2,500,000","$2,500,000",""
"","Boone Logan","2018","RP","UFA","CLE","MIL","1","$2,500,000","$2,500,000",""
"","Sergio Romo","2018","RP","UFA","TB","TB","1","$2,500,000","$2,500,000",""
"","Alcides Escobar","2018","SS","UFA","KC","KC","1","$2,500,000","$2,500,000",""
"","Anibal Sanchez","2018","SP","UFA","DET","MIN","1","$2,500,000","$2,500,000",""
"","Chase Utley","2018","2B","UFA","LAD","LAD","2","$2,000,000","$1,000,000",""
"","Chris Young","2018","RF","UFA","BOS","LAA","1","$2,000,000","$2,000,000",""
"","Seung-Hwan Oh","2018","RP","UFA","STL","TOR","1","$2,000,000","$2,000,000",""
"","Jose Reyes","2018","SS","UFA","NYM","NYM","1","$2,000,000","$2,000,000",""
"","Tom Koehler","2018","RP","UFA","TOR","LAD","1","$2,000,000","$2,000,000",""
"","Leonys Martin","2018","CF","UFA","CHC","DET","1","$1,750,000","$1,750,000",""
"","Wily Peralta","2018","RP","UFA","MIL","KC","1","$1,525,000","$1,525,000",""
"","Clay Buchholz","2018","SP","UFA","PHI","KC","1","$1,500,000","$1,500,000",""
"","Tony Barnette","2018","RP","UFA","TEX","TEX","1","$1,500,000","$1,500,000",""
"","Jesse Chavez","2018","RP","UFA","LAA","TEX","1","$1,500,000","$1,500,000",""
"","Trevor Cahill","2018","RP","UFA","KC","OAK","1","$1,500,000","$1,500,000",""
"","Miguel Montero","2018","C","UFA","TOR","WSH","1","$1,300,000","$1,300,000",""
"","Justin Grimm","2018","RP","UFA","CHC","KC","1","$1,250,000","$1,250,000",""
"","Jordan Lyles","2018","SP","UFA","SD","SD","1","$1,000,000","$1,000,000",""
"","Peter Bourjos","2018","RF","UFA","CHC","ATL","1","$1,000,000","$1,000,000",""
"","Joaquin Benoit","2018","RP","UFA","PIT","WSH","1","$1,000,000","$1,000,000",""
"","Ichiro Suzuki","2018","LF","UFA","MIA","SEA","1","$750,000","$750,000",""
"","Yovani Gallardo","2018","SP","UFA","MIL","CIN","1","$750,000","$750,000",""
"","Ryan Flaherty","2018","3B","UFA","PHI","ATL","1","$750,000","$750,000",""
"","Dan Jennings","2018","RP","UFA","TB","MIL","1","$750,000","$750,000",""
"","Peter Moylan","2018","RP","UFA","KC","ATL","1","$575,000","$575,000",""
"","Chris Stewart","2018","C","UFA","PIT","ATL","1","$575,000","$575,000",""
"","Austin Jackson","2018","CF","UFA","TEX","NYM","1","$545,000","$545,000",""
"","Adrian Gonzalez","2018","1B","UFA","ATL","NYM","1","$545,000","$545,000",""
"","Dario Alvarez","2018","RP","UFA","TEX","CHC","1","$545,000","$545,000",""
"","Jose Bautista","2018","RF","UFA","ATL","NYM","1","$545,000","$545,000",""
"","Jayson Werth","2018","LF","UFA","WSH","SEA","0","$0","$0",""
